station_id,time,min_value,max_value,mean_value,perc_of_norm,lat,lng
100,2019-04-15,23,116,52,104,50.254738,19.091616
101,2019-04-15,20,84,42,84,50.26145,19.037395
102,2019-04-15,20,103,46,92,50.255352,19.029016
103,2019-04-15,20,92,43,86,50.270565,19.07762
104,2019-04-15,19,73,36,72,50.23114,18.987324
105,2019-04-15,21,79,43,86,50.22461,18.976276
106,2019-04-15,17,98,44,88,50.284657,19.016014
107,2019-04-15,23,78,45,90,50.224792,18.967447
108,2019-04-15,22,124,51,102,50.265198,19.039125
109,2019-04-15,25,94,48,96,50.263985,18.998125
110,2019-04-15,20,93,42,84,50.27318,19.009117
112,2019-04-15,19,90,44,88,50.26799,19.042020000000004
113,2019-04-15,16,69,36,72,50.28207,18.974485
114,2019-04-15,19,106,43,86,50.25959,19.056011
115,2019-04-15,13,70,35,70,50.279984000000006,18.972153
116,2019-04-15,20,71,40,80,50.19236,19.041485
117,2019-04-15,21,105,52,104,50.26074,19.090233
118,2019-04-15,15,73,37,74,50.27475,18.975105
119,2019-04-15,24,139,56,112,50.263107,19.09172
12,2019-04-15,18,85,43,86,50.252377,19.084644
120,2019-04-15,23,129,52,104,50.26481,19.10294
121,2019-04-15,22,110,51,102,50.19822700000001,19.038568
122,2019-04-15,20,72,40,80,50.20668,18.988396
123,2019-04-15,19,78,40,80,50.26251,19.001417
124,2019-04-15,20,86,42,84,50.251457,19.025074
125,2019-04-15,21,131,51,102,50.243153,19.0837
126,2019-04-15,13,58,28,56,50.24447,19.080748
127,2019-04-15,26,103,53,106,50.22063,18.961985
128,2019-04-15,16,89,41,82,50.275723,19.012634
129,2019-04-15,14,74,37,74,50.280014,18.964596
13,2019-04-15,13,85,37,74,50.287006,19.01375
130,2019-04-15,20,83,42,84,50.25003,19.036142
131,2019-04-15,20,123,52,104,50.243374,19.085268
132,2019-04-15,17,77,37,74,50.25812,18.96962
133,2019-04-15,27,117,57,114,50.266182,18.986528
135,2019-04-15,21,106,53,106,50.24612,19.091906
136,2019-04-15,20,102,43,86,50.27175,18.997177
137,2019-04-15,19,91,48,96,50.20921,18.97383
138,2019-04-15,20,84,43,86,50.256981,19.015341
139,2019-04-15,17,88,39,78,50.273143,19.019827
14,2019-04-15,22,78,40,80,50.25252,19.015036
140,2019-04-15,20,74,42,84,50.230684,18.948482
141,2019-04-15,27,138,62,124,50.205266,18.973171
2,2019-04-15,16,98,40,80,50.285824,19.009811
27,2019-04-15,25,99,49,98,50.214043000000004,18.990131
28,2019-04-15,22,122,51,102,50.233486,18.977175
29,2019-04-15,19,77,38,76,50.248585,19.007534
30,2019-04-15,18,75,35,70,50.251793,19.009983
31,2019-04-15,24,72,48,96,50.19271,18.995771000000005
32,2019-04-15,18,98,41,82,50.25963,19.049824
33,2019-04-15,17,120,42,84,50.27273,19.073715
34,2019-04-15,30,97,64,128,50.18012,18.976181
35,2019-04-15,20,81,45,90,50.2281,18.972958
36,2019-04-15,18,73,38,76,50.269947,19.019236
37,2019-04-15,20,116,44,88,50.268124,19.031334
38,2019-04-15,14,70,33,66,50.247375,19.03444
39,2019-04-15,22,96,49,98,50.26265000000001,19.097992
40,2019-04-15,15,79,38,76,50.267525,19.046894000000005
41,2019-04-15,17,73,36,72,50.269108,19.095942
42,2019-04-15,17,78,38,76,50.237103,19.073261
43,2019-04-15,15,72,36,72,50.272808,19.02353
44,2019-04-15,24,118,51,102,50.26354,19.04095
45,2019-04-15,16,90,40,80,50.276604000000006,19.071354
54,2019-04-15,19,77,38,76,50.26323,19.019848
55,2019-04-15,18,89,41,82,50.271286,19.035568
56,2019-04-15,19,84,45,90,50.21758,19.073318
57,2019-04-15,23,87,46,92,50.252388,19.00201
58,2019-04-15,15,54,35,70,50.180874,19.001057
59,2019-04-15,17,56,34,68,50.232937,19.029295
60,2019-04-15,19,74,41,82,50.202538,19.043344
61,2019-04-15,7,86,20,40,50.21221,18.97508
62,2019-04-15,19,136,45,90,50.273834,19.06209
63,2019-04-15,26,112,53,106,50.211124,18.984251
64,2019-04-15,22,112,48,96,50.263695,19.078045000000003
65,2019-04-15,13,64,33,66,50.266644,18.965406
66,2019-04-15,21,106,47,94,50.25321,18.993744
67,2019-04-15,18,106,47,94,50.259086,19.039870
68,2019-04-15,20,78,40,80,50.23789,19.00815
69,2019-04-15,20,92,43,86,50.228233,18.933847
