station_id,time,min_value,max_value,mean_value,perc_of_norm,lat,lng
100,2019-04-30,25,91,42,84,50.254738,19.091616
101,2019-04-30,21,48,33,66,50.26145,19.037395
102,2019-04-30,21,50,34,68,50.255352,19.029016
103,2019-04-30,21,48,31,62,50.270565,19.07762
105,2019-04-30,23,48,32,64,50.22461,18.976276
106,2019-04-30,22,55,36,72,50.284657,19.016014
107,2019-04-30,22,52,33,66,50.224792,18.967447
108,2019-04-30,26,52,37,74,50.265198,19.039125
109,2019-04-30,23,52,33,66,50.263985,18.998125
110,2019-04-30,23,52,34,68,50.27318,19.009117
112,2019-04-30,22,49,35,70,50.26799,19.042020000000004
113,2019-04-30,19,53,31,62,50.28207,18.974485
114,2019-04-30,19,47,30,60,50.25959,19.056011
115,2019-04-30,17,51,28,56,50.279984000000006,18.972153
116,2019-04-30,20,58,32,64,50.19236,19.041485
117,2019-04-30,24,52,37,74,50.26074,19.090233
118,2019-04-30,22,55,33,66,50.27475,18.975105
119,2019-04-30,25,56,36,72,50.263107,19.09172
12,2019-04-30,16,41,27,54,50.252377,19.084644
120,2019-04-30,20,58,34,68,50.26481,19.10294
121,2019-04-30,21,55,36,72,50.19822700000001,19.038568
122,2019-04-30,21,53,33,66,50.20668,18.988396
123,2019-04-30,23,52,33,66,50.26251,19.001417
124,2019-04-30,20,50,33,66,50.251457,19.025074
125,2019-04-30,20,52,32,64,50.243153,19.0837
126,2019-04-30,12,21,16,32,50.24447,19.080748
127,2019-04-30,27,52,37,74,50.22063,18.961985
128,2019-04-30,21,52,32,64,50.275723,19.012634
129,2019-04-30,18,56,30,60,50.280014,18.964596
13,2019-04-30,18,48,28,56,50.287006,19.01375
130,2019-04-30,22,54,33,66,50.25003,19.036142
131,2019-04-30,21,52,34,68,50.243374,19.085268
132,2019-04-30,19,54,29,58,50.25812,18.96962
133,2019-04-30,25,82,43,86,50.266182,18.986528
134,2019-04-30,26,50,37,74,50.23103,18.976793
135,2019-04-30,20,53,33,66,50.24612,19.091906
136,2019-04-30,21,51,32,64,50.27175,18.997177
138,2019-04-30,20,47,30,60,50.256981,19.015341
139,2019-04-30,22,50,33,66,50.273143,19.019827
14,2019-04-30,21,49,31,62,50.25252,19.015036
140,2019-04-30,23,50,31,62,50.230684,18.948482
141,2019-04-30,25,73,41,82,50.205266,18.973171
2,2019-04-30,22,54,32,64,50.285824,19.009811
27,2019-04-30,23,57,37,74,50.214043000000004,18.990131
28,2019-04-30,23,47,32,64,50.233486,18.977175
29,2019-04-30,21,50,30,60,50.248585,19.007534
30,2019-04-30,16,44,26,52,50.251793,19.009983
31,2019-04-30,21,49,32,64,50.19271,18.995771000000005
32,2019-04-30,19,44,28,56,50.25963,19.049824
33,2019-04-30,19,53,30,60,50.27273,19.073715
34,2019-04-30,22,70,42,84,50.18012,18.976181
35,2019-04-30,22,49,32,64,50.2281,18.972958
36,2019-04-30,21,50,34,68,50.269947,19.019236
37,2019-04-30,24,49,33,66,50.268124,19.031334
38,2019-04-30,13,40,21,42,50.247375,19.03444
39,2019-04-30,20,60,33,66,50.26265000000001,19.097992
40,2019-04-30,18,44,26,52,50.267525,19.046894000000005
41,2019-04-30,15,40,24,48,50.269108,19.095942
42,2019-04-30,20,49,32,64,50.237103,19.073261
43,2019-04-30,19,46,27,54,50.272808,19.02353
44,2019-04-30,21,54,31,62,50.26354,19.04095
45,2019-04-30,19,43,26,52,50.276604000000006,19.071354
54,2019-04-30,20,46,30,60,50.26323,19.019848
55,2019-04-30,21,55,32,64,50.271286,19.035568
56,2019-04-30,20,105,39,78,50.21758,19.073318
57,2019-04-30,26,54,33,66,50.252388,19.00201
