station_id,time,min_value,max_value,mean_value,perc_of_norm,lat,lng
100,2019-04-01,7,54,27,54,50.254738,19.091616
104,2019-04-01,4,56,18,36,50.23114,18.987324
105,2019-04-01,4,66,22,44,50.22461,18.976276
107,2019-04-01,6,60,22,44,50.224792,18.967447
108,2019-04-01,9,50,27,54,50.265198,19.039125
115,2019-04-01,3,42,16,32,50.279984000000006,18.972153
116,2019-04-01,4,46,18,36,50.19236,19.041485
118,2019-04-01,5,42,19,38,50.27475,18.975105
119,2019-04-01,12,58,29,58,50.263107,19.09172
12,2019-04-01,3,47,17,34,50.252377,19.084644
120,2019-04-01,6,52,23,46,50.26481,19.10294
121,2019-04-01,7,96,32,64,50.19822700000001,19.038568
123,2019-04-01,8,41,21,42,50.26251,19.001417
124,2019-04-01,5,43,20,40,50.251457,19.025074
125,2019-04-01,4,51,21,42,50.243153,19.0837
128,2019-04-01,5,46,20,40,50.275723,19.012634
129,2019-04-01,4,46,18,36,50.280014,18.964596
13,2019-04-01,5,42,19,38,50.287006,19.01375
132,2019-04-01,6,43,17,34,50.25812,18.96962
2,2019-04-01,5,47,18,36,50.285824,19.009811
27,2019-04-01,9,68,29,58,50.214043000000004,18.990131
28,2019-04-01,8,45,24,48,50.233486,18.977175
29,2019-04-01,4,46,19,38,50.248585,19.007534
30,2019-04-01,6,42,19,38,50.251793,19.009983
31,2019-04-01,6,69,30,60,50.19271,18.995771000000005
32,2019-04-01,4,50,18,36,50.25963,19.049824
33,2019-04-01,6,64,22,44,50.27273,19.073715
34,2019-04-01,20,110,45,90,50.18012,18.976181
35,2019-04-01,6,50,22,44,50.2281,18.972958
36,2019-04-01,6,57,22,44,50.269947,19.019236
37,2019-04-01,8,50,23,46,50.268124,19.031334
38,2019-04-01,3,37,16,32,50.247375,19.03444
39,2019-04-01,8,57,23,46,50.26265000000001,19.097992
40,2019-04-01,4,42,16,32,50.267525,19.046894000000005
41,2019-04-01,3,48,16,32,50.269108,19.095942
43,2019-04-01,5,48,17,34,50.272808,19.02353
44,2019-04-01,6,50,24,48,50.26354,19.04095
45,2019-04-01,6,46,19,38,50.276604000000006,19.071354
54,2019-04-01,6,41,18,36,50.26323,19.019848
55,2019-04-01,7,45,21,42,50.271286,19.035568
56,2019-04-01,3,62,22,44,50.21758,19.073318
57,2019-04-01,9,52,24,48,50.252388,19.00201
59,2019-04-01,3,42,17,34,50.232937,19.029295
60,2019-04-01,3,48,18,36,50.202538,19.043344
61,2019-04-01,1,23,7,14,50.21221,18.97508
63,2019-04-01,10,59,28,56,50.211124,18.984251
64,2019-04-01,6,54,23,46,50.263695,19.078045000000003
65,2019-04-01,3,41,18,36,50.266644,18.965406
66,2019-04-01,6,55,23,46,50.25321,18.993744
68,2019-04-01,5,41,20,40,50.23789,19.00815
69,2019-04-01,6,56,23,46,50.228233,18.933847
7,2019-04-01,4,44,19,38,50.221443,19.061783
70,2019-04-01,4,61,19,38,50.228745,18.990461
71,2019-04-01,3,60,21,42,50.229458,19.005276
72,2019-04-01,6,46,21,42,50.27481,18.981928
74,2019-04-01,4,69,21,42,50.205723,18.986748
76,2019-04-01,6,48,23,46,50.25028,19.02335
78,2019-04-01,4,49,20,40,50.262463,19.058872
79,2019-04-01,4,56,22,44,50.23316,19.006874
81,2019-04-01,8,56,23,46,50.26909,19.027601
82,2019-04-01,4,44,19,38,50.234722,18.961267
83,2019-04-01,7,62,26,52,50.22761,18.95915
84,2019-04-01,3,65,19,38,50.220592,18.971525
85,2019-04-01,5,56,24,48,50.22261,19.06589
86,2019-04-01,4,51,22,44,50.223434,19.070477
87,2019-04-01,12,102,38,76,50.269325,19.083923
88,2019-04-01,7,49,23,46,50.269688,18.976131
89,2019-04-01,6,49,21,42,50.272602,18.987013
92,2019-04-01,4,60,25,50,50.19924,19.045400000000004
93,2019-04-01,3,58,22,44,50.183132,18.996593
931,2019-04-01,4,31,15,30,50.250732,19.02006
932,2019-04-01,4,40,15,30,50.245403,19.0276
933,2019-04-01,4,45,19,38,50.24356,19.047333
934,2019-04-01,9,42,19,38,50.25494,19.008867
935,2019-04-01,6,37,18,36,50.24467,18.995974
936,2019-04-01,7,41,20,40,50.259605,19.01516
937,2019-04-01,5,42,20,40,50.217736,18.966635
939,2019-04-01,6,55,28,56,50.18484000000001,18.951904
940,2019-04-01,8,54,26,52,50.277126,19.065918
942,2019-04-01,6,50,19,38,50.26122000000001,19.019688000000002
944,2019-04-01,6,39,20,40,50.2527,19.025331
945,2019-04-01,5,43,19,38,50.26386300000001,19.005745
946,2019-04-01,6,50,17,34,50.26245,19.025373
