station_id,time,min_value,max_value,mean_value,perc_of_norm
107,2019-04-07,44,96,71,142
107,2019-04-08,32,121,69,138
107,2019-04-09,51,99,68,136
107,2019-04-10,37,58,48,96
107,2019-04-11,38,72,52,104
107,2019-04-12,36,84,55,110
107,2019-04-13,65,129,82,164
107,2019-04-14,27,96,50,100
107,2019-04-15,23,78,45,90
107,2019-04-16,14,90,42,84
107,2019-04-17,14,212,62,124
107,2019-04-18,14,136,62,124
107,2019-04-19,8,174,51,102
107,2019-04-20,10,75,38,76
107,2019-04-21,5,107,38,76
107,2019-04-22,9,81,37,74
107,2019-04-23,14,56,27,54
107,2019-04-26,4,31,14,28
107,2019-04-27,11,52,28,56
107,2019-04-28,31,62,51,102
107,2019-04-29,21,62,35,70
107,2019-04-30,22,52,33,66
108,2019-04-01,9,50,27,54
108,2019-04-03,34,87,50,100
108,2019-04-04,24,92,49,98
108,2019-04-05,16,99,54,108
108,2019-04-06,54,122,70,140
108,2019-04-07,44,106,74,148
108,2019-04-08,35,116,74,148
108,2019-04-09,48,96,67,134
108,2019-04-10,38,59,51,102
108,2019-04-11,40,71,55,110
108,2019-04-12,38,95,58,116
108,2019-04-13,63,123,88,176
108,2019-04-14,27,111,54,108
108,2019-04-15,22,124,51,102
108,2019-04-16,12,94,49,98
108,2019-04-17,16,114,43,86
108,2019-04-18,13,173,71,142
108,2019-04-19,8,131,46,92
108,2019-04-20,8,69,37,74
108,2019-04-21,4,53,26,52
108,2019-04-22,9,56,31,62
108,2019-04-23,14,35,25,50
108,2019-04-26,5,30,14,28
108,2019-04-27,11,46,27,54
108,2019-04-28,33,66,49,98
108,2019-04-29,19,44,32,64
108,2019-04-30,26,52,37,74
109,2019-04-10,36,65,51,102
109,2019-04-11,40,81,53,106
109,2019-04-12,35,82,58,116
109,2019-04-13,55,162,86,172
109,2019-04-14,37,81,53,106
109,2019-04-15,25,94,48,96
109,2019-04-16,16,93,46,92
109,2019-04-17,26,108,49,98
109,2019-04-18,18,132,62,124
109,2019-04-19,9,125,47,94
109,2019-04-20,8,66,36,72
109,2019-04-21,5,50,26,52
109,2019-04-22,12,61,36,72
109,2019-04-23,16,42,28,56
109,2019-04-26,6,28,14,28
109,2019-04-27,10,51,28,56
109,2019-04-28,28,57,45,90
109,2019-04-29,22,64,35,70
109,2019-04-30,23,52,33,66
110,2019-04-02,20,60,33,66
110,2019-04-03,33,66,49,98
110,2019-04-04,26,70,47,94
110,2019-04-05,17,76,48,96
110,2019-04-06,59,110,69,138
110,2019-04-07,44,112,72,144
110,2019-04-08,30,94,64,128
110,2019-04-09,48,84,66,132
110,2019-04-10,36,59,49,98
110,2019-04-11,39,60,47,94
110,2019-04-12,36,77,51,102
110,2019-04-13,54,105,73,146
110,2019-04-14,27,85,49,98
110,2019-04-15,20,93,42,84
110,2019-04-16,13,92,44,88
110,2019-04-17,20,101,44,88
110,2019-04-18,14,137,54,108
110,2019-04-19,8,109,41,82
110,2019-04-20,8,61,34,68
110,2019-04-21,5,59,27,54
110,2019-04-22,12,50,30,60
110,2019-04-23,15,37,26,52
110,2019-04-26,6,25,15,30
110,2019-04-27,12,52,30,60
110,2019-04-28,28,60,46,92
110,2019-04-29,14,43,29,58
110,2019-04-30,23,52,34,68
112,2019-04-03,34,73,50,100
112,2019-04-04,26,68,49,98
112,2019-04-05,15,76,49,98
112,2019-04-06,56,100,67,134
112,2019-04-07,43,105,71,142
112,2019-04-08,30,96,65,130
112,2019-04-09,49,82,63,126
112,2019-04-10,31,54,44,88
112,2019-04-11,31,57,42,84
112,2019-04-12,31,70,47,94
112,2019-04-13,49,96,69,138
112,2019-04-14,23,88,46,92
112,2019-04-15,19,90,44,88
112,2019-04-16,13,94,43,86
112,2019-04-17,14,135,45,90
112,2019-04-18,14,133,53,106
112,2019-04-19,8,135,43,86
112,2019-04-20,8,69,35,70
112,2019-04-21,4,52,25,50
112,2019-04-22,10,53,29,58
112,2019-04-23,12,34,23,46
112,2019-04-26,5,27,14,28
112,2019-04-27,11,46,28,56
112,2019-04-28,36,64,49,98
112,2019-04-29,12,49,28,56
112,2019-04-30,22,49,35,70
113,2019-04-02,15,52,29,58
113,2019-04-03,32,64,46,92
113,2019-04-04,23,64,43,86
113,2019-04-05,16,68,43,86
113,2019-04-06,54,90,62,124
113,2019-04-07,42,102,67,134
113,2019-04-08,26,79,55,110
113,2019-04-09,41,76,59,118
113,2019-04-10,32,50,42,84
113,2019-04-11,29,50,39,78
113,2019-04-12,32,64,43,86
113,2019-04-13,49,84,62,124
113,2019-04-14,23,73,43,86
113,2019-04-15,16,69,36,72
113,2019-04-16,11,66,33,66
113,2019-04-17,16,123,40,80
113,2019-04-18,13,115,42,84
113,2019-04-19,8,88,38,76
113,2019-04-20,7,66,28,56
113,2019-04-21,5,47,24,48
113,2019-04-22,8,57,27,54
113,2019-04-23,13,35,23,46
113,2019-04-26,6,24,12,24
113,2019-04-27,11,46,28,56
113,2019-04-28,24,58,42,84
113,2019-04-29,13,40,26,52
113,2019-04-30,19,53,31,62
114,2019-04-02,16,54,31,62
114,2019-04-03,32,68,48,96
114,2019-04-04,24,75,46,92
114,2019-04-05,14,72,48,96
114,2019-04-06,54,94,63,126
114,2019-04-07,42,108,70,140
114,2019-04-08,28,105,67,134
114,2019-04-09,48,95,67,134
114,2019-04-10,33,55,44,88
114,2019-04-11,30,57,41,82
114,2019-04-12,32,73,47,94
114,2019-04-13,48,98,68,136
114,2019-04-14,24,86,45,90
114,2019-04-15,19,106,43,86
114,2019-04-16,11,98,43,86
114,2019-04-17,12,101,36,72
114,2019-04-18,13,135,59,118
114,2019-04-19,6,124,40,80
114,2019-04-20,6,72,35,70
114,2019-04-21,4,51,24,48
114,2019-04-22,9,49,27,54
114,2019-04-23,13,33,23,46
114,2019-04-26,5,33,14,28
114,2019-04-27,9,47,25,50
114,2019-04-28,30,60,45,90
114,2019-04-29,10,40,25,50
114,2019-04-30,19,47,30,60
115,2019-04-01,3,42,16,32
115,2019-04-02,17,52,28,56
115,2019-04-03,31,65,46,92
115,2019-04-04,20,64,42,84
115,2019-04-05,14,69,43,86
115,2019-04-06,52,88,62,124
115,2019-04-07,34,104,66,132
115,2019-04-08,21,82,55,110
115,2019-04-09,36,77,58,116
115,2019-04-10,30,50,41,82
115,2019-04-11,28,49,38,76
115,2019-04-12,31,64,42,84
115,2019-04-13,46,84,62,124
115,2019-04-14,20,73,42,84
115,2019-04-15,13,70,35,70
115,2019-04-16,10,69,33,66
115,2019-04-17,14,114,37,74
115,2019-04-18,11,113,45,90
115,2019-04-19,5,86,36,72
115,2019-04-20,5,68,28,56
115,2019-04-21,4,56,24,48
115,2019-04-22,8,60,29,58
115,2019-04-23,13,36,22,44
115,2019-04-26,4,20,11,22
115,2019-04-27,10,44,24,48
115,2019-04-28,19,53,37,74
115,2019-04-29,14,40,23,46
115,2019-04-30,17,51,28,56
116,2019-04-01,4,46,18,36
116,2019-04-02,22,46,29,58
116,2019-04-03,31,58,45,90
116,2019-04-04,25,64,43,86
116,2019-04-05,17,64,40,80
116,2019-04-06,49,79,59,118
116,2019-04-07,40,92,62,124
116,2019-04-08,34,89,54,108
116,2019-04-09,47,77,63,126
116,2019-04-10,35,67,50,100
116,2019-04-11,37,60,48,96
116,2019-04-12,35,68,49,98
116,2019-04-13,56,114,76,152
116,2019-04-14,25,90,46,92
116,2019-04-15,20,71,40,80
116,2019-04-16,14,60,35,70
116,2019-04-17,14,93,38,76
116,2019-04-18,15,112,39,78
116,2019-04-19,8,72,36,72
116,2019-04-20,8,56,28,56
116,2019-04-21,4,50,24,48
116,2019-04-22,9,44,27,54
116,2019-04-23,13,35,23,46
116,2019-04-26,5,24,13,26
116,2019-04-27,11,45,25,50
116,2019-04-28,22,57,39,78
116,2019-04-29,14,36,22,44
116,2019-04-30,20,58,32,64
117,2019-04-02,19,63,37,74
117,2019-04-03,41,97,58,116
117,2019-04-04,26,80,53,106
117,2019-04-05,19,84,54,108
117,2019-04-06,55,142,75,150
117,2019-04-07,48,105,74,148
117,2019-04-08,33,122,73,146
117,2019-04-09,46,151,77,154
117,2019-04-10,37,62,53,106
117,2019-04-11,41,68,52,104
117,2019-04-12,36,86,57,114
117,2019-04-13,60,123,84,168
117,2019-04-14,30,109,54,108
117,2019-04-15,21,105,52,104
117,2019-04-16,14,127,50,100
117,2019-04-17,20,78,41,82
117,2019-04-18,14,138,63,126
117,2019-04-19,8,132,51,102
117,2019-04-20,8,82,42,84
117,2019-04-21,4,56,29,58
117,2019-04-22,11,57,34,68
117,2019-04-23,14,40,26,52
117,2019-04-26,5,36,18,36
117,2019-04-27,12,48,30,60
117,2019-04-28,25,72,53,106
117,2019-04-29,19,49,35,70
117,2019-04-30,24,52,37,74
118,2019-04-01,5,42,19,38
118,2019-04-02,19,47,30,60
118,2019-04-03,36,62,48,96
118,2019-04-04,24,64,45,90
118,2019-04-05,18,75,45,90
118,2019-04-06,56,95,64,128
118,2019-04-07,44,104,69,138
118,2019-04-08,27,81,57,114
118,2019-04-09,46,80,63,126
118,2019-04-10,37,54,46,92
118,2019-04-11,32,52,41,82
118,2019-04-12,33,71,45,90
118,2019-04-13,52,84,66,132
118,2019-04-14,24,74,47,94
118,2019-04-15,15,73,37,74
118,2019-04-16,13,70,36,72
118,2019-04-17,17,70,38,76
118,2019-04-18,15,132,54,108
118,2019-04-19,8,88,36,72
118,2019-04-20,8,67,29,58
118,2019-04-21,5,55,25,50
118,2019-04-22,11,61,34,68
118,2019-04-23,15,39,26,52
118,2019-04-26,6,27,13,26
118,2019-04-27,12,47,28,56
118,2019-04-28,22,58,42,84
118,2019-04-29,18,42,27,54
118,2019-04-30,22,55,33,66
119,2019-04-01,12,58,29,58
119,2019-04-02,19,68,45,90
119,2019-04-03,44,206,75,150
119,2019-04-04,31,114,64,128
119,2019-04-05,24,111,62,124
119,2019-04-06,58,133,76,152
119,2019-04-07,53,142,79,158
119,2019-04-08,38,131,77,154
119,2019-04-09,49,112,71,142
119,2019-04-10,38,66,51,102
119,2019-04-11,38,64,48,96
119,2019-04-12,36,93,57,114
119,2019-04-13,54,122,79,158
119,2019-04-14,36,108,55,110
119,2019-04-15,24,139,56,112
119,2019-04-16,18,129,53,106
119,2019-04-17,24,73,45,90
119,2019-04-18,19,147,72,144
119,2019-04-19,10,138,50,100
119,2019-04-20,9,81,43,86
119,2019-04-21,6,57,32,64
119,2019-04-22,14,59,36,72
119,2019-04-23,20,55,32,64
119,2019-04-26,8,56,21,42
119,2019-04-27,12,46,30,60
119,2019-04-28,22,65,50,100
119,2019-04-29,26,56,38,76
119,2019-04-30,25,56,36,72
12,2019-04-01,3,47,17,34
12,2019-04-03,30,74,49,98
12,2019-04-04,23,67,46,92
12,2019-04-05,14,70,46,92
12,2019-04-06,48,92,61,122
12,2019-04-07,33,90,64,128
12,2019-04-08,24,117,62,124
12,2019-04-09,43,87,63,126
12,2019-04-10,29,54,42,84
12,2019-04-11,28,53,41,82
12,2019-04-12,30,75,51,102
12,2019-04-13,48,103,67,134
12,2019-04-14,22,87,43,86
12,2019-04-15,18,85,43,86
12,2019-04-16,11,89,41,82
12,2019-04-17,12,97,34,68
12,2019-04-18,11,132,57,114
12,2019-04-19,7,118,46,92
12,2019-04-20,5,78,35,70
12,2019-04-21,3,52,23,46
12,2019-04-22,8,50,25,50
12,2019-04-23,12,31,21,42
12,2019-04-25,6,39,20,40
12,2019-04-26,3,26,12,24
12,2019-04-27,8,44,21,42
12,2019-04-28,25,56,40,80
12,2019-04-29,10,40,20,40
12,2019-04-30,16,41,27,54
120,2019-04-01,6,52,23,46
120,2019-04-02,18,73,34,68
120,2019-04-03,42,110,61,122
120,2019-04-04,32,77,56,112
120,2019-04-05,20,86,56,112
120,2019-04-06,56,116,73,146
120,2019-04-07,45,115,77,154
120,2019-04-08,36,160,84,168
120,2019-04-09,48,176,84,168
120,2019-04-10,34,54,46,92
120,2019-04-11,39,64,51,102
120,2019-04-12,33,77,54,108
120,2019-04-13,50,291,91,182
120,2019-04-14,26,97,49,98
120,2019-04-15,23,129,52,104
120,2019-04-16,14,107,51,102
120,2019-04-17,17,180,53,106
120,2019-04-18,16,212,91,182
120,2019-04-19,9,188,67,134
120,2019-04-20,9,114,57,114
120,2019-04-21,5,88,40,80
120,2019-04-22,12,70,35,70
120,2019-04-23,13,56,28,56
120,2019-04-26,5,47,20,40
120,2019-04-27,11,69,43,86
120,2019-04-28,29,77,53,106
120,2019-04-29,15,61,38,76
120,2019-04-30,20,58,34,68
121,2019-04-01,7,96,32,64
121,2019-04-02,27,62,40,80
121,2019-04-03,34,64,47,94
121,2019-04-04,25,64,44,88
121,2019-04-05,19,169,55,110
121,2019-04-06,47,87,63,126
121,2019-04-07,55,99,74,148
121,2019-04-08,36,108,63,126
121,2019-04-09,49,85,63,126
121,2019-04-10,38,78,54,108
121,2019-04-11,35,86,50,100
121,2019-04-12,36,110,62,124
121,2019-04-13,62,103,76,152
121,2019-04-14,35,104,55,110
121,2019-04-15,22,110,51,102
121,2019-04-16,14,85,43,86
121,2019-04-17,19,82,41,82
121,2019-04-18,18,209,63,126
121,2019-04-19,8,120,41,82
121,2019-04-20,8,85,33,66
121,2019-04-21,4,49,24,48
121,2019-04-22,12,55,34,68
121,2019-04-23,14,37,25,50
121,2019-04-26,5,49,16,32
121,2019-04-27,13,46,28,56
121,2019-04-28,25,59,42,84
121,2019-04-29,14,40,24,48
121,2019-04-30,21,55,36,72
122,2019-04-09,44,78,60,120
122,2019-04-10,30,54,45,90
122,2019-04-11,33,56,44,88
122,2019-04-12,30,68,47,94
122,2019-04-13,57,130,76,152
122,2019-04-14,25,93,46,92
122,2019-04-15,20,72,40,80
122,2019-04-16,11,107,40,80
122,2019-04-17,15,84,39,78
122,2019-04-18,13,84,43,86
122,2019-04-19,6,84,35,70
122,2019-04-20,6,64,28,56
122,2019-04-21,4,66,27,54
122,2019-04-22,7,55,27,54
122,2019-04-23,12,32,21,42
122,2019-04-26,4,22,12,24
122,2019-04-27,9,49,26,52
122,2019-04-28,27,63,46,92
122,2019-04-29,18,64,33,66
122,2019-04-30,21,53,33,66
123,2019-04-01,8,41,21,42
123,2019-04-02,19,56,32,64
123,2019-04-03,32,67,47,94
123,2019-04-04,23,64,43,86
123,2019-04-05,17,66,45,90
123,2019-04-06,52,96,63,126
123,2019-04-07,44,93,66,132
123,2019-04-08,30,84,61,122
123,2019-04-09,47,96,66,132
123,2019-04-10,32,57,48,96
123,2019-04-11,36,61,46,92
123,2019-04-12,32,77,52,104
123,2019-04-13,54,109,75,150
123,2019-04-14,28,80,48,96
123,2019-04-15,19,78,40,80
123,2019-04-16,14,87,42,84
123,2019-04-17,17,104,44,88
123,2019-04-18,14,156,66,132
123,2019-04-19,7,129,44,88
123,2019-04-20,8,72,35,70
123,2019-04-21,6,52,25,50
123,2019-04-22,11,60,32,64
123,2019-04-23,17,38,25,50
123,2019-04-26,5,29,14,28
123,2019-04-27,10,45,25,50
123,2019-04-28,26,55,43,86
123,2019-04-29,19,46,30,60
123,2019-04-30,23,52,33,66
124,2019-04-01,5,43,20,40
124,2019-04-02,24,46,29,58
124,2019-04-03,30,65,45,90
124,2019-04-04,24,67,44,88
124,2019-04-05,18,64,45,90
124,2019-04-06,54,90,63,126
124,2019-04-07,43,95,66,132
124,2019-04-08,32,81,61,122
124,2019-04-09,49,83,64,128
124,2019-04-10,33,53,45,90
124,2019-04-11,36,57,46,92
124,2019-04-12,33,70,49,98
124,2019-04-13,52,94,69,138
124,2019-04-14,24,81,48,96
124,2019-04-15,20,86,42,84
124,2019-04-16,13,76,39,78
124,2019-04-17,14,83,39,78
124,2019-04-18,15,100,48,96
124,2019-04-19,7,116,36,72
124,2019-04-20,7,63,31,62
124,2019-04-21,4,48,24,48
124,2019-04-22,11,47,28,56
124,2019-04-23,13,34,24,48
124,2019-04-26,5,26,13,26
124,2019-04-27,11,51,26,52
124,2019-04-28,26,56,43,86
124,2019-04-29,20,42,28,56
124,2019-04-30,20,50,33,66
125,2019-04-01,4,51,21,42
125,2019-04-02,24,52,34,68
125,2019-04-03,32,73,50,100
125,2019-04-04,25,71,47,94
125,2019-04-05,15,94,52,104
125,2019-04-06,50,96,65,130
125,2019-04-07,49,97,67,134
125,2019-04-08,32,92,63,126
125,2019-04-09,47,86,64,128
125,2019-04-10,33,53,44,88
125,2019-04-11,30,54,41,82
125,2019-04-12,29,89,49,98
125,2019-04-13,52,99,67,134
125,2019-04-14,28,96,48,96
125,2019-04-15,21,131,51,102
125,2019-04-16,13,103,43,86
125,2019-04-17,21,63,41,82
125,2019-04-18,15,127,56,112
125,2019-04-19,9,89,40,80
125,2019-04-20,8,63,34,68
125,2019-04-21,4,50,26,52
125,2019-04-22,14,47,32,64
125,2019-04-23,14,62,28,56
125,2019-04-26,5,34,15,30
125,2019-04-27,11,49,24,48
125,2019-04-28,27,58,43,86
125,2019-04-29,15,41,27,54
125,2019-04-30,20,52,32,64
126,2019-04-02,12,27,17,34
126,2019-04-03,24,48,34,68
126,2019-04-04,22,48,34,68
126,2019-04-05,14,48,36,72
126,2019-04-06,38,50,45,90
126,2019-04-07,37,56,46,92
126,2019-04-08,27,62,47,94
126,2019-04-09,35,64,52,104
126,2019-04-10,18,36,26,52
126,2019-04-11,17,25,21,42
126,2019-04-12,18,48,28,56
126,2019-04-13,28,59,40,80
126,2019-04-14,20,59,33,66
126,2019-04-15,13,58,28,56
126,2019-04-16,9,64,31,62
126,2019-04-17,13,44,25,50
126,2019-04-18,21,70,44,88
126,2019-04-19,14,65,39,78
126,2019-04-20,7,56,28,56
126,2019-04-21,5,33,18,36
126,2019-04-22,10,21,14,28
126,2019-04-23,10,17,13,26
126,2019-04-26,4,16,9,18
126,2019-04-27,6,14,8,16
126,2019-04-28,8,19,14,28
126,2019-04-29,3,12,7,14
126,2019-04-30,12,21,16,32
127,2019-04-03,40,70,54,108
127,2019-04-04,24,79,51,102
127,2019-04-05,22,68,46,92
127,2019-04-06,49,100,68,136
127,2019-04-07,48,96,74,148
127,2019-04-08,38,107,69,138
127,2019-04-09,51,111,75,150
127,2019-04-10,40,66,53,106
127,2019-04-11,44,88,58,116
127,2019-04-12,43,91,62,124
127,2019-04-13,67,212,91,182
127,2019-04-14,29,96,54,108
127,2019-04-15,26,103,53,106
127,2019-04-16,14,144,54,108
127,2019-04-17,16,130,49,98
127,2019-04-18,14,178,69,138
127,2019-04-19,9,113,53,106
127,2019-04-20,8,84,38,76
127,2019-04-21,7,65,33,66
127,2019-04-22,12,54,33,66
127,2019-04-23,17,64,31,62
127,2019-04-26,6,69,23,46
127,2019-04-27,12,70,32,64
127,2019-04-28,24,63,46,92
127,2019-04-29,16,50,29,58
127,2019-04-30,27,52,37,74
128,2019-04-01,5,46,20,40
128,2019-04-02,15,54,29,58
128,2019-04-03,32,64,46,92
128,2019-04-11,36,58,44,88
128,2019-04-12,33,76,48,96
128,2019-04-13,52,99,70,140
128,2019-04-14,25,83,48,96
128,2019-04-15,16,89,41,82
128,2019-04-16,11,91,43,86
128,2019-04-17,18,116,42,84
128,2019-04-18,12,132,53,106
128,2019-04-19,7,112,42,84
128,2019-04-20,8,65,34,68
128,2019-04-21,4,58,26,52
128,2019-04-22,10,50,29,58
128,2019-04-23,14,34,25,50
128,2019-04-26,5,25,13,26
128,2019-04-27,12,50,28,56
128,2019-04-28,28,59,44,88
128,2019-04-29,14,42,28,56
128,2019-04-30,21,52,32,64
129,2019-04-01,4,46,18,36
129,2019-04-02,16,53,30,60
129,2019-04-03,30,66,46,92
129,2019-04-04,22,64,42,84
129,2019-04-05,17,70,43,86
129,2019-04-06,54,96,65,130
129,2019-04-07,40,115,70,140
129,2019-04-08,25,83,57,114
129,2019-04-09,43,79,61,122
129,2019-04-10,35,52,43,86
129,2019-04-11,30,50,39,78
129,2019-04-12,32,67,44,88
129,2019-04-13,50,104,67,134
129,2019-04-14,22,77,45,90
129,2019-04-15,14,74,37,74
129,2019-04-16,12,67,34,68
129,2019-04-17,16,111,40,80
129,2019-04-18,14,119,48,96
129,2019-04-19,7,89,35,70
129,2019-04-20,6,69,28,56
129,2019-04-21,4,55,25,50
129,2019-04-22,10,64,31,62
129,2019-04-23,13,36,23,46
129,2019-04-26,4,19,12,24
129,2019-04-27,11,45,27,54
129,2019-04-28,21,58,40,80
129,2019-04-29,17,43,26,52
129,2019-04-30,18,56,30,60
13,2019-04-01,5,42,19,38
13,2019-04-03,38,64,51,102
13,2019-04-04,23,70,45,90
13,2019-04-05,16,83,48,96
13,2019-04-06,54,98,65,130
13,2019-04-07,36,105,67,134
13,2019-04-08,21,78,55,110
13,2019-04-09,40,78,58,116
